Borough,District,Number,Tract,Total,White,Black_African_American,American_Indian_and_Alaska_Native,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Some_Other_Race,Multiple,Hispanic
Brooklyn,047,3,039300,"3,549",427,834,10,102,3,30,34,"2,109"
Brooklyn,047,3,039400,"2,441","2,120",5,0,78,1,2,39,196
Brooklyn,047,3,039500,"3,380",293,857,7,59,0,13,32,"2,119"
Brooklyn,047,3,039600,"2,126","1,918",4,2,31,0,5,7,159
Brooklyn,047,3,039700,"3,389",161,"1,885",19,65,3,13,52,"1,191"
Brooklyn,047,3,039800,"2,644","1,166",15,1,811,0,2,15,634
Brooklyn,047,3,039900,"3,823",145,"1,678",8,95,1,9,29,"1,858"
Brooklyn,047,3,040000,"3,069","1,460",16,0,941,0,15,27,610
Brooklyn,047,3,040100,"3,518",149,"1,639",6,54,6,23,58,"1,583"
Brooklyn,047,3,040200,"2,740","1,122",25,0,"1,172",1,7,22,391
Brooklyn,047,3,040300,"3,538",129,"2,152",5,60,0,18,81,"1,093"
Brooklyn,047,3,040400,"2,551","1,165",6,5,"1,034",0,4,29,308
Brooklyn,047,3,040500,"1,480",76,743,2,15,0,8,16,620
Brooklyn,047,3,040600,"3,184","1,468",18,5,"1,324",0,6,28,335
Brooklyn,047,3,040700,14,4,2,0,0,0,0,0,8
Brooklyn,047,3,040800,"3,566","1,335",29,1,"1,580",0,7,52,562
Brooklyn,047,3,040900,"3,752",152,845,1,29,0,18,36,"2,671"
Brooklyn,047,3,041000,"1,773","1,259",23,0,309,0,2,15,165
Brooklyn,047,3,041100,"3,302",75,"1,541",12,29,2,10,39,"1,594"
Brooklyn,047,3,041200,"2,929","1,536",9,0,937,0,6,51,390
Brooklyn,047,3,041300,"3,822",69,"1,587",5,20,1,18,27,"2,095"
Brooklyn,047,3,041401,"1,351","1,126",9,1,70,0,4,13,128
Brooklyn,047,3,041402,"1,612","1,466",15,1,21,0,0,47,62
